|Nobsts|,|Tc|,|Tp|,|Ns|,|Nssol|,|Nkn|,|Acc|,|MaxIt|,|FS_MaxIt|,|LS_MaxIt|,|Deps|,|Seps|,|Drho|,|LS_mdist|,|LS_topt|,|Dopt|,|MOB|,|PEN|,|NSE|,|FIR|,|LAS|,|LMA|,|MAX|,|MIN|,|AVG|,|RMP|,|RMG|,|TOT|
7,0.6,2.4,10,150,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00312329676483,29.0,2.90899991989,1.03700017929,0.0,1.05400013924,0.134999990463,0.501814815733,1.97625026107,1.97625026107,16.1021796247
7,0.6,2.4,11,165,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.0045020582987,22.0,3.11099982262,1.01699995995,1.0,0.848999977112,0.0770001411438,0.477850008011,1.17916663488,1.41249994437,16.1820473228
7,0.6,2.4,12,180,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00188846580497,25.0,3.54800009727,1.00999999046,1.0,0.829000234604,0.085000038147,0.523086952127,1.2665281362,1.54305554099,16.2253035182
7,0.6,2.4,13,195,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00111340792404,26.0,3.73600006104,1.09600019455,0.0,1.47300004959,0.18799996376,0.596874992053,2.45500008265,2.45500008265,16.1950890879
7,0.6,2.4,14,210,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000327450742338,29.0,4.07899999619,1.02399992943,0.0,1.48000001907,0.196000099182,0.63262964178,2.67222225666,2.67222225666,16.5958233152
7,0.6,2.4,15,225,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000248709978712,23.0,4.34399986267,1.12199997902,0.0,1.57800006866,0.207000017166,0.652142853964,2.30125010014,2.30125010014,16.2085703085
7,0.6,2.4,16,240,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00101950620031,25.0,4.64100003242,1.11800003052,0.0,1.65400004387,0.221999883652,0.746826088947,2.58437506855,2.58437506855,16.1402317692
7,0.6,2.4,17,255,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.0014869455358,26.0,4.78900003433,1.26099991798,0.0,1.82799983025,0.235000133514,0.72970833381,3.04666638374,3.04666638374,16.1960950585
7,0.6,2.4,18,270,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000370502990167,28.0,5.11099982262,1.11499977112,0.0,1.97300004959,0.248999834061,0.797423078464,3.49385425448,3.49385425448,16.2275410879
7,0.6,2.4,19,285,5,0.001,15,40,26,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000491461548756,24.0,5.06300020218,1.31900000572,0.0,2.00900006294,0.286999940872,0.903454531323,3.01350009441,3.01350009441,16.4306361284
