|Nobsts|,|Tc|,|Tp|,|Ns|,|Nssol|,|Nkn|,|Acc|,|MaxIt|,|FS_MaxIt|,|LS_MaxIt|,|Deps|,|Seps|,|Drho|,|LS_mdist|,|LS_topt|,|Dopt|,|MOB|,|PEN|,|NSE|,|FIR|,|LAS|,|LMA|,|MAX|,|MIN|,|AVG|,|RMP|,|RMG|,|TOT|
7,0.6,2.4,10,150,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.0299093269098,30.0,5.06399989128,2.4880001545,0.0,2.92299985886,0.306999921799,1.29942857368,5.48062473536,5.48062473536,16.5889481283
7,0.6,2.4,11,165,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.0027227153303,22.0,5.68899989128,1.9240000248,0.0,2.17000007629,0.207999944687,1.25370000601,3.01388899485,3.01388899485,16.0390549213
7,0.6,2.4,12,180,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00324882135892,25.0,6.18799996376,1.90799999237,0.0,5.60099983215,0.115000009537,1.7025217388,8.5570830769,8.5570830769,16.4635480612
7,0.6,2.4,13,195,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00221368026555,26.0,6.76800012589,1.97800016403,0.0,3.13300013542,0.241000175476,1.48695832491,5.22166689237,5.22166689237,16.0275982838
7,0.6,2.4,14,210,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00140194962254,28.0,6.59000015259,2.45799994469,0.0,2.56699991226,0.261000156403,1.47603846513,4.6348609527,4.6348609527,16.1273840405
7,0.6,2.4,15,225,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.0013703927329,23.0,7.25300002098,2.47099995613,0.0,3.8100001812,0.276999950409,1.70785714331,5.55625026425,5.55625026425,16.1347098985
7,0.6,2.4,16,240,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000663848734988,25.0,7.55799984932,1.9390001297,0.0,3.29099988937,0.151999950409,1.55378259783,5.14218732715,5.14218732715,16.0441062438
7,0.6,2.4,17,255,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00105707053862,27.0,8.04999995232,1.96699976921,0.0,3.56200003624,0.329999923706,1.80828001022,5.93666672707,5.93666672707,16.6406925058
7,0.6,2.4,18,270,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000929791917972,28.0,9.2460000515,2.63199996948,0.0,4.75699996948,0.171000003815,2.01634614284,8.42385411263,8.42385411263,16.2588594576
7,0.6,2.4,19,285,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000288936766162,24.0,9.22000002861,2.71099996567,0.0,6.63100004196,0.34099984169,1.94068179347,9.94650006294,9.94650006294,16.36945296
7,0.6,2.4,20,300,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000740382100838,25.0,9.71499991417,2.06399989128,0.0,4.05499982834,0.193000078201,2.02482609127,6.42041639487,6.42041639487,16.08549714
7,0.6,2.4,21,315,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000521862073007,26.0,9.74599981308,2.47600007057,0.0,4.93799996376,0.403000116348,2.27745833993,8.2299999396,8.2299999396,16.0435499473
7,0.6,2.4,22,330,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000523446929204,29.0,10.7230000496,1.91700005531,0.0,5.2460000515,0.386999845505,2.25392592395,9.18050009012,9.18050009012,16.6426663527
7,0.6,2.4,23,345,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000226470012302,24.0,11.1080000401,3.08099985123,0.0,4.23399996758,0.417000055313,1.93318181688,6.46861106157,6.46861106157,16.1873340298
7,0.6,2.4,24,360,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000170824319175,26.0,11.6840000153,2.46899986267,0.0,10.628000021,0.432000160217,2.88508333762,16.9752778113,16.9752778113,16.6944621093
7,0.6,2.4,25,375,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000136836911435,26.0,11.4559998512,2.99000000954,0.0,4.32899999619,0.444999933243,2.13629167279,7.21499999364,7.21499999364,16.0486743111
7,0.6,2.4,26,390,9,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00020140063548,30.0,11.9490001202,2.16400003433,0.0,10.0859999657,0.233999967575,2.78264284985,17.5104166071,17.5104166071,17.5600525781
7,0.6,2.4,10,150,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000356304027028,24.0,5.75600004196,2.57700014114,0.0,5.10400009155,0.115999937057,1.87163635817,9.57000017166,9.57000017166,13.1823534388
7,0.6,2.4,11,165,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.0203292352855,21.0,6.14800000191,3.07899999619,0.0,3.3259999752,0.335999965668,1.62300000693,4.61944441001,4.61944441001,15.5432558164
7,0.6,2.4,12,180,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.002007762714,24.0,6.34699988365,2.44000005722,0.0,2.55599999428,0.243000030518,1.61872727221,3.90499999126,3.90499999126,16.0093957649
7,0.6,2.4,13,195,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00149201825924,26.0,6.93600010872,2.45200014114,0.0,3.17100000381,0.273000001907,1.80858332912,5.28500000636,5.28500000636,16.0539849788
7,0.6,2.4,14,210,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00227152495692,29.0,7.3789999485,2.06599998474,0.0,6.09900021553,0.305000066757,2.24329629651,11.0120837225,11.0120837225,16.2823430126
7,0.6,2.4,15,225,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.00186410780238,24.0,8.31299996376,2.11099982262,0.0,5.51399993896,0.165999889374,2.06399999965,8.04124991099,8.04124991099,16.2875493856
7,0.6,2.4,16,240,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000806418413191,25.0,8.41100001335,2.66199994087,0.0,4.18600010872,0.339999914169,2.18469563774,6.54062516987,6.54062516987,16.4117304059
7,0.6,2.4,17,255,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000690379254814,26.0,8.60000014305,2.47099995613,0.0,5.02000021935,0.332000017166,2.27620833119,8.36666703224,8.36666703224,15.9732764828
7,0.6,2.4,18,270,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000638956545058,28.0,9.04999995232,2.44099998474,0.0,4.78699994087,0.178999900818,2.27903846594,8.47697906196,8.47697906196,16.1564236373
7,0.6,2.4,19,285,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000470477581956,24.0,9.9960000515,2.00500011444,0.0,4.38499999046,0.190999984741,2.40390908718,6.57749998569,6.57749998569,16.0907360705
7,0.6,2.4,20,300,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000424896683537,25.0,10.4490001202,2.42600011826,0.0,4.71700000763,0.381999969482,2.34178260098,7.46858334541,7.46858334541,16.0930301386
7,0.6,2.4,21,315,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000403833420615,26.0,10.503000021,2.61899995804,0.0,3.14899992943,0.430999994278,2.18449999889,5.24833321571,5.24833321571,15.9975616734
7,0.6,2.4,22,330,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000275759018044,28.0,11.3089997768,1.91100001335,0.0,5.30900001526,0.220999956131,2.45019231393,9.2907500267,9.2907500267,16.1673978798
7,0.6,2.4,23,345,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000421949885125,24.0,11.9519999027,3.37700009346,0.0,4.22000002861,0.466000080109,2.56413637508,6.44722226593,6.44722226593,16.2094691231
7,0.6,2.4,24,360,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000143643741605,25.0,12.5469999313,3.23399996758,0.0,4.53400015831,0.498000144958,2.62226087114,7.24180580841,7.24180580841,16.0622333387
7,0.6,2.4,25,375,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,0.000233012749643,26.0,12.9619998932,3.05200004578,0.0,6.2990000248,0.480000019073,2.99995833635,10.4983333747,10.4983333747,15.999696222
7,0.6,2.4,26,390,10,0.001,50,50,50,5.0,0.1,15.0,0.5,1.0,10.0,7.0,7.83225867479e-05,28.0,12.8880000114,1.97600007057,0.0,4.31900000572,0.266000032425,2.83811538036,7.49826389882,7.49826389882,16.2927296871
