|Nobsts|,|Tc|,|Tp|,|Ns|,|Nssol|,|Nkn|,|Acc|,|MaxIt|,|FS_MaxIt|,|LS_MaxIt|,|Deps|,|Seps|,|Drho|,|LS_mdist|,|LS_topt|,|Dopt|,|MOB|,|PEN|,|NSE|,|FIR|,|LAS|,|LMA|,|MAX|,|MIN|,|AVG|,|RMP|,|RMG|,|TOT|
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,1.2,0.5,1.0,10.0,2.0,0.002932461135,29.0,1.2291469574,0.743381977081,1.0,0.484908819199,0.0622801780701,0.265404224396,0.74083291822,1.13572246499,18.9503636118
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,1.6,0.5,1.0,10.0,2.0,0.00204603801751,25.0,1.28999495506,0.877511024475,1.0,0.37138915062,0.0679478645325,0.24161503626,0.567400091224,1.34064184295,16.8083881396
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,2.0,0.5,1.0,10.0,2.0,0.0018497900236,24.0,1.61385703087,0.874562978745,1.0,0.476584196091,0.0759391784668,0.264707803726,0.728114744027,1.33613788419,16.2874747441
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,2.4,0.5,1.0,10.0,3.0,0.00168710569461,24.0,1.59947800636,0.864070177078,0.0,0.897759914398,0.102563858032,0.268712964925,1.371577647,1.371577647,16.2176152142
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,2.8,0.5,1.0,10.0,3.0,0.00321357065379,24.0,1.60068488121,1.01966190338,1.0,0.71125793457,0.0776751041412,0.301546757871,1.0866440667,1.55781679683,16.2154091739
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,3.2,0.5,1.0,10.0,4.0,0.00272338727449,24.0,1.74426794052,1.18775391579,1.0,1.0691010952,0.0759079456329,0.305418599736,1.63334889544,1.81462403801,16.1863630891
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,3.6,0.5,1.0,10.0,4.0,0.00272338727449,24.0,1.75926804543,1.03735494614,1.0,0.961830854416,0.0780131816864,0.311575087634,1.46946380536,1.58484783438,16.1863630891
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,4.0,0.5,1.0,10.0,4.0,0.00272338727449,24.0,1.94167685509,0.991724014282,1.0,0.911546945572,0.0809679031372,0.311952254989,1.39264116685,1.51513391071,16.1863630891
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,4.4,0.5,1.0,10.0,5.0,0.00272338727449,24.0,1.93820595741,1.01286697388,0.0,1.03513813019,0.0896129608154,0.328563115814,1.58146103223,1.58146103223,16.1863630891
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,4.8,0.5,1.0,10.0,5.0,0.00272338727449,24.0,2.03302192688,1.17218899727,1.0,1.0845849514,0.104532957077,0.342305183411,1.65700478686,1.79084430138,16.1863630891
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,5.2,0.5,1.0,10.0,6.0,0.00272338727449,24.0,2.00284981728,1.16245603561,1.0,1.03361010551,0.0904211997986,0.351295536215,1.57912655009,1.77597449885,16.1863630891
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,5.6,0.5,1.0,10.0,6.0,0.00272338727449,24.0,2.00422000885,1.14151406288,1.0,1.04123020172,0.0905570983887,0.365647294305,1.59076836374,1.74397981829,16.1863630891
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,6.0,0.5,1.0,10.0,6.0,0.00272338727449,24.0,2.33748197556,1.13110589981,1.0,1.02879214287,0.10275387764,0.363470110026,1.57176577383,1.72807845804,16.1863630891
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,6.4,0.5,1.0,10.0,7.0,0.00272338727449,24.0,2.39846587181,1.24523210526,0.0,1.36646223068,0.116499900818,0.406443021514,2.08765063021,2.08765063021,16.1863630891
7,0.6,2.4,12,24,5,0.001,50,50,50,5.0,0.1,6.8,0.5,1.0,10.0,7.0,0.00272338727449,24.0,2.49001288414,1.37317800522,1.0,1.1932990551,0.103533983231,0.393270297484,1.82309577862,2.09791084131,16.1863630891
